TIMESTAMP: 14.300000, X: -2.542698, Y: 15.051350, Z: -6.538219, PITCH: -0.031591, YAW: -1.758274
TIMESTAMP: 14.400000, X: -2.370224, Y: 15.033695, Z: -6.453550, PITCH: -0.028478, YAW: -1.759585
TIMESTAMP: 14.500000, X: -2.195080, Y: 15.015367, Z: -6.371497, PITCH: -0.025319, YAW: -1.760752
TIMESTAMP: 14.600000, X: -2.017461, Y: 14.996409, Z: -6.292407, PITCH: -0.022164, YAW: -1.761869
TIMESTAMP: 14.700000, X: -1.837574, Y: 14.976880, Z: -6.216616, PITCH: -0.019057, YAW: -1.763273
TIMESTAMP: 14.800000, X: -1.655635, Y: 14.956860, Z: -6.144448, PITCH: -0.015953, YAW: -1.764765
TIMESTAMP: 14.900000, X: -1.471869, Y: 14.936443, Z: -6.076209, PITCH: -0.012783, YAW: -1.765711
TIMESTAMP: 15.000000, X: -1.286514, Y: 14.915746, Z: -6.012189, PITCH: -0.009598, YAW: -1.766485
TIMESTAMP: 15.100000, X: -1.099814, Y: 14.894901, Z: -5.952657, PITCH: -0.006528, YAW: -1.768308
TIMESTAMP: 15.200000, X: -0.912022, Y: 14.874060, Z: -5.897859, PITCH: -0.003486, YAW: -1.770423
TIMESTAMP: 15.300000, X: -0.723400, Y: 14.853395, Z: -5.848021, PITCH: -0.000147, YAW: -1.769720
TIMESTAMP: 15.400000, X: -0.534214, Y: 14.833091, Z: -5.803339, PITCH: 0.003606, YAW: -1.765031
TIMESTAMP: 15.500000, X: -0.344735, Y: 14.813351, Z: -5.763987, PITCH: 0.007499, YAW: -1.758966
TIMESTAMP: 15.600000, X: -0.155238, Y: 14.794393, Z: -5.730111, PITCH: 0.011279, YAW: -1.753998
TIMESTAMP: 15.700000, X: 0.034000, Y: 14.776447, Z: -5.701829, PITCH: 0.014994, YAW: -1.749717
TIMESTAMP: 15.800000, X: 0.222704, Y: 14.759750, Z: -5.679233, PITCH: 0.018759, YAW: -1.744935
TIMESTAMP: 15.900000, X: 0.410600, Y: 14.744551, Z: -5.662388, PITCH: 0.022549, YAW: -1.739806
TIMESTAMP: 16.000000, X: 0.597419, Y: 14.731103, Z: -5.651332, PITCH: 0.026315, YAW: -1.734933
TIMESTAMP: 16.100000, X: 0.782896, Y: 14.719659, Z: -5.646075, PITCH: 0.030085, YAW: -1.730215
