TIMESTAMP: 17.100000, X: 17.439996, Y: 8.453422, Z: -6.920385, PITCH: 0.493606, YAW: 2.226123
TIMESTAMP: 17.200000, X: 17.617701, Y: 8.474885, Z: -6.992085, PITCH: 0.501486, YAW: 2.227078
TIMESTAMP: 17.300000, X: 17.795026, Y: 8.500878, Z: -7.062981, PITCH: 0.509126, YAW: 2.228497
TIMESTAMP: 17.400000, X: 17.971894, Y: 8.531351, Z: -7.133186, PITCH: 0.515274, YAW: 2.232813
TIMESTAMP: 17.500000, X: 18.148230, Y: 8.566233, Z: -7.202825, PITCH: 0.521474, YAW: 2.237029
TIMESTAMP: 17.600000, X: 18.323960, Y: 8.605433, Z: -7.272039, PITCH: 0.528439, YAW: 2.239759
TIMESTAMP: 17.700000, X: 18.499012, Y: 8.648845, Z: -7.340980, PITCH: 0.535385, YAW: 2.242526
TIMESTAMP: 17.800000, X: 18.673314, Y: 8.696343, Z: -7.409809, PITCH: 0.541926, YAW: 2.246081
TIMESTAMP: 17.900000, X: 18.846798, Y: 8.747788, Z: -7.478695, PITCH: 0.548475, YAW: 2.249617
TIMESTAMP: 18.000000, X: 19.019401, Y: 8.803028, Z: -7.547810, PITCH: 0.555242, YAW: 2.252733
TIMESTAMP: 18.100000, X: 19.191059, Y: 8.861898, Z: -7.617330, PITCH: 0.562003, YAW: 2.255859
TIMESTAMP: 18.200000, X: 19.361716, Y: 8.924223, Z: -7.687430, PITCH: 0.568649, YAW: 2.259209
TIMESTAMP: 18.300000, X: 19.531320, Y: 8.989821, Z: -7.758284, PITCH: 0.575297, YAW: 2.262554
TIMESTAMP: 18.400000, X: 19.699823, Y: 9.058501, Z: -7.830056, PITCH: 0.582007, YAW: 2.265779
TIMESTAMP: 18.500000, X: 19.867183, Y: 9.130068, Z: -7.902908, PITCH: 0.588716, YAW: 2.269009
TIMESTAMP: 18.600000, X: 20.033363, Y: 9.204322, Z: -7.976988, PITCH: 0.595391, YAW: 2.272300
TIMESTAMP: 18.700000, X: 20.198335, Y: 9.281061, Z: -8.052430, PITCH: 0.602067, YAW: 2.275587
TIMESTAMP: 18.800000, X: 20.362073, Y: 9.360081, Z: -8.129358, PITCH: 0.608762, YAW: 2.278845
TIMESTAMP: 18.900000, X: 20.524559, Y: 9.441180, Z: -8.207874, PITCH: 0.615455, YAW: 2.282110
TIMESTAMP: 19.000000, X: 20.685783, Y: 9.524156, Z: -8.288063, PITCH: 0.622132, YAW: 2.285381
TIMESTAMP: 19.100000, X: 20.845738, Y: 9.608808, Z: -8.369989, PITCH: 0.628796, YAW: 2.288638
TIMESTAMP: 19.200000, X: 21.004426, Y: 9.694937, Z: -8.453696, PITCH: 0.635460, YAW: 2.291890
TIMESTAMP: 19.300000, X: 21.161853, Y: 9.782350, Z: -8.539202, PITCH: 0.642127, YAW: 2.295149
TIMESTAMP: 19.400000, X: 21.318031, Y: 9.870854, Z: -8.626503, PITCH: 0.648791, YAW: 2.298409
TIMESTAMP: 19.500000, X: 21.472978, Y: 9.960260, Z: -8.715570, PITCH: 0.655455, YAW: 2.301666
TIMESTAMP: 19.600000, X: 21.626717, Y: 10.050384, Z: -8.806348, PITCH: 0.662125, YAW: 2.304925
TIMESTAMP: 19.700000, X: 21.779273, Y: 10.141042, Z: -8.898760, PITCH: 0.668793, YAW: 2.308184
TIMESTAMP: 19.800000, X: 21.930677, Y: 10.232055, Z: -8.992702, PITCH: 0.675449, YAW: 2.311438
TIMESTAMP: 19.900000, X: 22.080964, Y: 10.323246, Z: -9.088046, PITCH: 0.682111, YAW: 2.314694
TIMESTAMP: 20.000000, X: 22.230169, Y: 10.414439, Z: -9.184642, PITCH: 0.688795, YAW: 2.317961
TIMESTAMP: 20.100000, X: 22.378331, Y: 10.505460, Z: -9.282314, PITCH: 0.695467, YAW: 2.321222
TIMESTAMP: 20.200000, X: 22.525491, Y: 10.596137, Z: -9.380867, PITCH: 0.702098, YAW: 2.324463
TIMESTAMP: 20.300000, X: 22.671689, Y: 10.686296, Z: -9.480084, PITCH: 0.708751, YAW: 2.327715
TIMESTAMP: 20.400000, X: 22.816969, Y: 10.775766, Z: -9.579728, PITCH: 0.715482, YAW: 2.331005
TIMESTAMP: 20.500000, X: 22.961371, Y: 10.864372, Z: -9.679544, PITCH: 0.722170, YAW: 2.334274
TIMESTAMP: 20.600000, X: 23.104938, Y: 10.951940, Z: -9.779263, PITCH: 0.728716, YAW: 2.337474
TIMESTAMP: 20.700000, X: 23.247711, Y: 11.038296, Z: -9.878599, PITCH: 0.735343, YAW: 2.340713
TIMESTAMP: 20.800000, X: 23.389731, Y: 11.123261, Z: -9.977254, PITCH: 0.742210, YAW: 2.344069
TIMESTAMP: 20.900000, X: 23.531035, Y: 11.206657, Z: -10.074920, PITCH: 0.748784, YAW: 2.347282
TIMESTAMP: 21.000000, X: 23.671662, Y: 11.288304, Z: -10.171280, PITCH: 0.754440, YAW: 2.350048
TIMESTAMP: 21.100000, X: 23.811647, Y: 11.368019, Z: -10.266012, PITCH: 0.759508, YAW: 2.352524
TIMESTAMP: 21.200000, X: 23.951026, Y: 11.445619, Z: -10.358787, PITCH: 0.764728, YAW: 2.355074
TIMESTAMP: 21.300000, X: 24.089831, Y: 11.520919, Z: -10.449279, PITCH: 0.770209, YAW: 2.357755
TIMESTAMP: 21.400000, X: 24.228096, Y: 11.593736, Z: -10.537161, PITCH: 0.775627, YAW: 2.360405
