TIMESTAMP: 20.100000, X: -4.026908, Y: -8.519009, Z: 6.562012, PITCH: -0.069253, YAW: 1.317986
TIMESTAMP: 20.200000, X: -4.018570, Y: -8.529976, Z: 6.467735, PITCH: -0.070161, YAW: 1.318310
TIMESTAMP: 20.300000, X: -4.004548, Y: -8.543195, Z: 6.375456, PITCH: -0.069200, YAW: 1.322576
TIMESTAMP: 20.400000, X: -3.985051, Y: -8.558631, Z: 6.285014, PITCH: -0.068795, YAW: 1.325680
TIMESTAMP: 20.500000, X: -3.960313, Y: -8.576233, Z: 6.196234, PITCH: -0.069202, YAW: 1.327048
TIMESTAMP: 20.600000, X: -3.930594, Y: -8.595928, Z: 6.108935, PITCH: -0.069391, YAW: 1.328863
TIMESTAMP: 20.700000, X: -3.896181, Y: -8.617632, Z: 6.022922, PITCH: -0.069182, YAW: 1.331570
TIMESTAMP: 20.800000, X: -3.857381, Y: -8.641241, Z: 5.937999, PITCH: -0.069086, YAW: 1.334062
TIMESTAMP: 20.900000, X: -3.814527, Y: -8.666635, Z: 5.853965, PITCH: -0.069172, YAW: 1.336067
TIMESTAMP: 21.000000, X: -3.767969, Y: -8.693681, Z: 5.770615, PITCH: -0.069186, YAW: 1.338179
TIMESTAMP: 21.100000, X: -3.718077, Y: -8.722231, Z: 5.687747, PITCH: -0.069159, YAW: 1.340578
TIMESTAMP: 21.200000, X: -3.665238, Y: -8.752126, Z: 5.605162, PITCH: -0.069192, YAW: 1.342929
TIMESTAMP: 21.300000, X: -3.609853, Y: -8.783193, Z: 5.522665, PITCH: -0.069144, YAW: 1.345079
TIMESTAMP: 21.400000, X: -3.552337, Y: -8.815251, Z: 5.440069, PITCH: -0.069021, YAW: 1.347234
TIMESTAMP: 21.500000, X: -3.493116, Y: -8.848108, Z: 5.357194, PITCH: -0.069135, YAW: 1.349588
TIMESTAMP: 21.600000, X: -3.432623, Y: -8.881566, Z: 5.273875, PITCH: -0.069376, YAW: 1.351982
TIMESTAMP: 21.700000, X: -3.371300, Y: -8.915420, Z: 5.189957, PITCH: -0.069113, YAW: 1.354089
TIMESTAMP: 21.800000, X: -3.309594, Y: -8.949462, Z: 5.105301, PITCH: -0.068573, YAW: 1.356075
TIMESTAMP: 21.900000, X: -3.247953, Y: -8.983477, Z: 5.019784, PITCH: -0.069122, YAW: 1.358605
TIMESTAMP: 22.000000, X: -3.186826, Y: -9.017253, Z: 4.933299, PITCH: -0.070885, YAW: 1.361707
TIMESTAMP: 22.100000, X: -3.126659, Y: -9.050573, Z: 4.845760, PITCH: -0.071216, YAW: 1.364113
TIMESTAMP: 22.200000, X: -3.067896, Y: -9.083224, Z: 4.757098, PITCH: -0.067114, YAW: 1.364420
TIMESTAMP: 22.300000, X: -3.010975, Y: -9.114994, Z: 4.667266, PITCH: -0.058762, YAW: 1.362727
TIMESTAMP: 22.400000, X: -2.956325, Y: -9.145674, Z: 4.576234, PITCH: -0.049298, YAW: 1.360512
